GEO,SAT_NAME,ACCESS_START,ACCESS_END,DURATION,DURATION_SECONDS,LAT,LON
23N156E,CAPELLA-2,2023-02-01 03:43:00,2023-02-01 03:50:00,0 days 00:07:00,420.0,23,-156
23N156E,CAPELLA-2,2023-02-01 05:19:00,2023-02-01 05:29:00,0 days 00:10:00,600.0,23,-156
23N156E,CAPELLA-2,2023-02-01 06:56:00,2023-02-01 07:04:00,0 days 00:08:00,480.0,23,-156
23N156E,CAPELLA-2,2023-02-01 20:13:00,2023-02-01 20:24:00,0 days 00:11:00,660.0,23,-156
23N156E,CAPELLA-2,2023-02-01 21:50:00,2023-02-01 22:00:00,0 days 00:10:00,600.0,23,-156
23N156E,CAPELLA-2,2023-02-01 23:32:00,2023-02-01 23:34:00,0 days 00:02:00,120.0,23,-156
23N156E,CAPELLA-2,2023-02-02 02:48:00,2023-02-02 02:53:00,0 days 00:05:00,300.0,23,-156
23N156E,CAPELLA-2,2023-02-02 04:23:00,2023-02-02 04:33:00,0 days 00:10:00,600.0,23,-156
23N156E,CAPELLA-2,2023-02-02 06:00:00,2023-02-02 06:10:00,0 days 00:10:00,600.0,23,-156
23N156E,CAPELLA-2,2023-02-02 19:17:00,2023-02-02 19:27:00,0 days 00:10:00,600.0,23,-156
23N156E,CAPELLA-2,2023-02-02 20:54:00,2023-02-02 21:04:00,0 days 00:10:00,600.0,23,-156
23N156E,CAPELLA-2,2023-02-02 22:34:00,2023-02-02 22:39:00,0 days 00:05:00,300.0,23,-156
23N156E,CAPELLA-2,2023-02-03 01:53:00,2023-02-03 01:54:00,0 days 00:01:00,60.0,23,-156
23N156E,CAPELLA-2,2023-02-03 03:27:00,2023-02-03 03:36:00,0 days 00:09:00,540.0,23,-156
23N156E,CAPELLA-2,2023-02-03 05:03:00,2023-02-03 05:14:00,0 days 00:11:00,660.0,23,-156
23N156E,CAPELLA-2,2023-02-03 06:44:00,2023-02-03 06:46:00,0 days 00:02:00,120.0,23,-156
23N156E,CAPELLA-2,2023-02-03 18:22:00,2023-02-03 18:30:00,0 days 00:08:00,480.0,23,-156
23N156E,CAPELLA-2,2023-02-03 19:57:00,2023-02-03 20:07:00,0 days 00:10:00,600.0,23,-156
23N156E,CAPELLA-2,2023-02-03 21:35:00,2023-02-03 21:43:00,0 days 00:08:00,480.0,23,-156
23N156E,CAPELLA-2,2023-02-04 02:31:00,2023-02-04 02:38:00,0 days 00:07:00,420.0,23,-156
23N156E,CAPELLA-2,2023-02-04 04:06:00,2023-02-04 04:17:00,0 days 00:11:00,660.0,23,-156
23N156E,CAPELLA-2,2023-02-04 05:44:00,2023-02-04 05:52:00,0 days 00:08:00,480.0,23,-156
23N156E,CAPELLA-2,2023-02-04 17:27:00,2023-02-04 17:30:00,0 days 00:03:00,180.0,23,-156
23N156E,CAPELLA-2,2023-02-04 19:00:00,2023-02-04 19:10:00,0 days 00:10:00,600.0,23,-156
23N156E,CAPELLA-2,2023-02-04 20:37:00,2023-02-04 20:46:00,0 days 00:09:00,540.0,23,-156
23N156E,CAPELLA-2,2023-02-04 22:19:00,2023-02-04 22:20:00,0 days 00:01:00,60.0,23,-156
23N156E,CAPELLA-2,2023-02-05 01:34:00,2023-02-05 01:40:00,0 days 00:06:00,360.0,23,-156
23N156E,CAPELLA-2,2023-02-05 03:09:00,2023-02-05 03:19:00,0 days 00:10:00,600.0,23,-156
23N156E,CAPELLA-2,2023-02-05 04:46:00,2023-02-05 04:56:00,0 days 00:10:00,600.0,23,-156
23N156E,CAPELLA-2,2023-02-05 18:03:00,2023-02-05 18:12:00,0 days 00:09:00,540.0,23,-156
23N156E,CAPELLA-2,2023-02-05 19:39:00,2023-02-05 19:49:00,0 days 00:10:00,600.0,23,-156
23N156E,CAPELLA-2,2023-02-05 21:19:00,2023-02-05 21:24:00,0 days 00:05:00,300.0,23,-156
23N156E,CAPELLA-2,2023-02-06 00:38:00,2023-02-06 00:40:00,0 days 00:02:00,120.0,23,-156
23N156E,CAPELLA-2,2023-02-06 02:12:00,2023-02-06 02:21:00,0 days 00:09:00,540.0,23,-156
23N156E,CAPELLA-2,2023-02-06 03:48:00,2023-02-06 03:58:00,0 days 00:10:00,600.0,23,-156
23N156E,CAPELLA-2,2023-02-06 17:06:00,2023-02-06 17:13:00,0 days 00:07:00,420.0,23,-156
23N156E,CAPELLA-2,2023-02-06 18:40:00,2023-02-06 18:51:00,0 days 00:11:00,660.0,23,-156
23N156E,CAPELLA-2,2023-02-06 20:19:00,2023-02-06 20:27:00,0 days 00:08:00,480.0,23,-156
23N156E,CAPELLA-2,2023-02-07 01:14:00,2023-02-07 01:22:00,0 days 00:08:00,480.0,23,-156
23N156E,CAPELLA-2,2023-02-07 02:49:00,2023-02-07 03:00:00,0 days 00:11:00,660.0,23,-156
23N156E,CAPELLA-2,2023-02-07 04:27:00,2023-02-07 04:35:00,0 days 00:08:00,480.0,23,-156
23N156E,CAPELLA-2,2023-02-07 16:09:00,2023-02-07 16:12:00,0 days 00:03:00,180.0,23,-156
23N156E,CAPELLA-2,2023-02-07 17:42:00,2023-02-07 17:52:00,0 days 00:10:00,600.0,23,-156
23N156E,CAPELLA-2,2023-02-07 19:19:00,2023-02-07 19:28:00,0 days 00:09:00,540.0,23,-156
23N156E,CAPELLA-2,2023-02-08 00:15:00,2023-02-08 00:21:00,0 days 00:06:00,360.0,23,-156
23N156E,CAPELLA-2,2023-02-08 01:50:00,2023-02-08 02:01:00,0 days 00:11:00,660.0,23,-156
23N156E,CAPELLA-2,2023-02-08 03:27:00,2023-02-08 03:37:00,0 days 00:10:00,600.0,23,-156
23N156E,CAPELLA-2,2023-02-08 16:42:00,2023-02-08 16:52:00,0 days 00:10:00,600.0,23,-156
23N156E,CAPELLA-2,2023-02-08 18:19:00,2023-02-08 18:29:00,0 days 00:10:00,600.0,23,-156
